,BHP,FCX,RIO,VALE
BHP,,0.7690006854447032,0.026391019827345062,0.27372800444292855
FCX,0.7690006854447032,,0.8047686101890481,0.8388437495250658
RIO,0.026391019827345062,0.8047686101890481,,0.41060211724292445
VALE,0.27372800444292855,0.8388437495250658,0.41060211724292445,
