,AAPL,AMZN,GOOGL,META,MSFT
AAPL,,0.897557445380962,0.31775541998423673,0.042750784498373,0.4324540386059756
AMZN,0.897557445380962,,0.856181535668475,0.5190206169286222,0.7664378215447334
GOOGL,0.31775541998423673,0.856181535668475,,0.10956809977456405,0.6925522274935643
META,0.042750784498373,0.5190206169286222,0.10956809977456405,,0.13977396365010736
MSFT,0.4324540386059756,0.7664378215447334,0.6925522274935643,0.13977396365010736,
