,APA,COP,DVN,EOG,FANG,OXY
APA,,0.4655796616253913,0.545608544848428,0.6494470827450018,0.7926828722535216,0.37626866524814706
COP,0.4655796616253913,,0.7327342825399077,0.8826766794076735,0.8497378363704274,0.7433229592204716
DVN,0.545608544848428,0.7327342825399077,,0.4822450884479484,0.5561017424965482,0.9714711110542473
EOG,0.6494470827450018,0.8826766794076735,0.4822450884479484,,0.0006965515789008229,0.5556036491229033
FANG,0.7926828722535216,0.8497378363704274,0.5561017424965482,0.0006965515789008229,,0.3211607285519812
OXY,0.37626866524814706,0.7433229592204716,0.9714711110542473,0.5556036491229033,0.3211607285519812,
