ticker,mean_daily,std_daily,skew,kurtosis,mean_ann,vol_ann,sharpe_ann,bucket,subcluster
AA,0.00039753048196145647,0.034613737414967864,-0.1912641907582988,4.289889702901304,0.10017768145428703,0.5494760468789802,0.18231491986465198,commodities,aluminum
APD,0.00043198016265447165,0.016365124674495562,-0.8510094607846241,14.961735194605298,0.10885900098892685,0.2597883003796927,0.41902965156561844,commodities,chemicals
ECL,0.00043337080110890304,0.015756820546887065,-0.002530807206297278,19.11078241654868,0.10920944187944356,0.2501317717208156,0.43660763735899016,commodities,chemicals
LIN,0.0006916548882083545,0.014393270565551359,-0.06067509394282308,6.777764896743966,0.17429703182850534,0.22848608681588933,0.7628343338426172,commodities,chemicals
CF,0.00045749301528027553,0.02547176978371713,-0.30907322489782263,3.5313465387949465,0.11528823985062943,0.40435180980243013,0.28511864434824785,commodities,fertilizers
MOS,8.957362069354629e-05,0.028544137298090622,-0.7224581664477198,9.929155527773005,0.022572552414773666,0.4531241320777857,0.049815383504886346,commodities,fertilizers
BHP,0.0007075861786364648,0.0209243504231649,-0.31897970195240594,5.622484194580476,0.17831171701638915,0.33216376539158077,0.5368186888361567,commodities,miners
FCX,0.0009362965013722053,0.032884357242527106,-0.19027020244348664,5.757220170327022,0.23594671834579575,0.5220229877275947,0.45198530312408186,commodities,miners
GOLD,0.0008396420355517313,0.029292019499563837,0.3603112940112754,6.984668725812565,0.2115897929590363,0.46499639396820347,0.45503534157192804,commodities,miners
NEM,0.0008374515481453422,0.02272566835696115,-0.3175093813556924,4.972904442729536,0.21103779013262622,0.3607588011014943,0.5849830676015962,commodities,miners
RIO,0.0007809514710004429,0.019996717846059178,0.03701603197662595,3.483850716610008,0.1967997706921116,0.3174380547491986,0.6199627541430063,commodities,miners
VALE,0.0009116630970722088,0.028165491273502683,0.015531832719573507,5.298144569618582,0.22973910046219662,0.4471133127818881,0.5138274658671783,commodities,miners
NUE,0.0006842923417588985,0.02263018540330778,-0.17065389945437467,4.910999467262269,0.1724416701232424,0.3592430562026179,0.48001392691076256,commodities,steel
STLD,0.0010180269162197765,0.02474439663748314,-0.11017387425230639,6.215172998514989,0.2565427828873837,0.3928051190707396,0.6531044796317518,commodities,steel
APA,-6.573881767438974e-05,0.03859388200917258,-3.443425645180189,71.4855636782695,-0.016566182053946214,0.6126588835490429,-0.02703981366919999,energy,e&p
COP,0.00046026881428686076,0.024362430696435525,-0.5591282281638909,14.638199368321535,0.11598774120028892,0.38674159773488714,0.2999101774404908,energy,e&p
DVN,0.00026731537047186625,0.032687418396022454,-1.099883885907125,20.21984383725446,0.0673634733589103,0.5188966804595594,0.12982059029410253,energy,e&p
EOG,0.0003468527008506553,0.02516958639934586,-1.333693727152588,25.263844313205155,0.08740688061436513,0.39955479729013677,0.21876068365885398,energy,e&p
FANG,0.00048540462951229347,0.03176484404875558,-2.4771298812664146,53.66012079850513,0.12232196663709795,0.5042512667265441,0.24258137700114746,energy,e&p
OXY,1.0993369101250126e-05,0.0318396820859761,-4.328842996680444,117.57005152965344,0.0027703290135150317,0.5054392837371062,0.005481032247893025,energy,e&p
CVX,0.0004574666809119285,0.018573230620574845,-1.0639243290302771,27.38164022614132,0.11528160358980599,0.2948408955905454,0.3909959755036869,energy,integrated
XOM,0.00042687438637049847,0.017595857140196302,-0.2109607630042103,6.412385214392041,0.10757234536536561,0.27932557258787766,0.3851145613655644,energy,integrated
KMI,0.0005010606241970327,0.01902455925736507,-0.958185557798484,20.404919799600094,0.12626727729765225,0.3020055155855978,0.41809593130382466,energy,midstream
WMB,0.0006215741979809865,0.02465036091880155,-2.071607273576344,58.22429484648503,0.1566366978912086,0.39131234831480727,0.40028559938311936,energy,midstream
HAL,8.310546799735399e-05,0.029509514659446547,-1.842813329935325,34.08173785357501,0.020942577935333204,0.46844902259466276,0.04470620478475049,energy,services
SLB,-6.861233675511457e-06,0.025482389646023992,-0.7766933199584881,14.98971398276665,-0.0017290308862288873,0.4045203948901604,-0.004274273703056114,energy,services
BAC,0.0005463188006503937,0.019594309936522135,-0.14283694774655914,10.04105759988674,0.1376723377638992,0.31105002722375624,0.44260513009009816,financials,banks
C,0.0004382156835087186,0.02113817183176186,-0.5249088315561211,13.400491262090886,0.11043035224419709,0.33555807502435525,0.32909460526670953,financials,banks
GS,0.0007281023955739907,0.01868243180350665,-0.09788642120042175,9.130203562251554,0.18348180368464564,0.29657441062801515,0.618670381224433,financials,banks
JPM,0.0007281073993305644,0.017343823712707037,-0.07278946229184866,13.257126441407285,0.1834830646313022,0.2753246659606067,0.6664243611851141,financials,banks
MS,0.0007877849007889314,0.019980014234311887,-0.02300770680056847,11.258782482036407,0.19852179499881073,0.31717289313311914,0.6259103451047126,financials,banks
PNC,0.0004896051414799465,0.018686998936114897,-0.3420488678078243,9.515690901315443,0.12338049565294652,0.2966469116105316,0.4159170071351798,financials,banks
TFC,0.0003011772263014441,0.021201541293982846,-0.7039694603935718,13.312889876252376,0.07589666102796391,0.33656403405087104,0.22550437167773033,financials,banks
USB,0.0002781912974402829,0.019040420126688006,-0.2914785350504549,10.185773078519558,0.0701042069549513,0.3022572990804325,0.23193553031881012,financials,banks
WFC,0.00031562222807655747,0.020215739292836342,-0.2647261240046433,8.660963367618606,0.07953680147529248,0.3209149124289703,0.24784389380127902,financials,banks
SCHW,0.00047409302069345224,0.021302818032445922,-0.29008364623475613,7.097114838323634,0.11947144121474997,0.3381717524322852,0.3532862823563972,financials,brokers
