pair,theta,mu,sigma,half_life_days,n_obs
V_MA,0.04926937748323248,0.0015357462727010524,0.008000799506641346,14.068519148549004,2297
EOG_FANG,0.024104636051517688,0.007215659133461217,0.019586848048603677,28.75576213133917,2297
FCX_GOLD,0.011035255540887204,0.02715513492459127,0.030903448036403554,62.812064296267145,2297
