pair,mr_fraction_final,mr_fraction_v2,mr_fraction_adf,median_half_life_roll,median_crossings_roll,median_adf_p_roll
EOG_FANG,0.14560439560439561,0.6456043956043956,0.14638932496075352,17.898167964358322,18.0,0.208332843515183
V_MA,0.12990580847723704,0.7468602825745683,0.14167974882260598,12.707183709267602,20.0,0.13321233003358524
FCX_GOLD,0.08948194662480377,0.5400313971742543,0.08948194662480377,26.25530942567209,16.0,0.2547780330780237
