,spread,adf_p_roll,half_life_roll,mr_regime
2017-01-03,0.3125182136834841,,,0
2017-01-04,0.3794505418687719,,,0
2017-01-05,0.3599009402423987,,,0
2017-01-06,0.37302831601559694,,,0
2017-01-09,0.3532119873831028,,,0
2017-01-10,0.40541376422336795,,,0
2017-01-11,0.41808551104871183,,,0
2017-01-12,0.37437155326467764,,,0
2017-01-13,0.36535700064106535,,,0
2017-01-17,0.35214247891969386,,,0
2017-01-18,0.3566705027629804,,,0
2017-01-19,0.3523611524993826,,,0
2017-01-20,0.3615418175908096,,,0
2017-01-23,0.36783710321493013,,,0
2017-01-24,0.44422934943877346,,,0
2017-01-25,0.40804357963810167,,,0
2017-01-26,0.36256747939981393,,,0
2017-01-27,0.3923504663344004,,,0
2017-01-30,0.3814075245083619,,,0
2017-01-31,0.40101430598811394,,,0
2017-02-01,0.40821145542327164,,,0
2017-02-02,0.40243209034242566,,,0
2017-02-03,0.33893152274957306,,,0
2017-02-06,0.34615765913559526,,,0
2017-02-07,0.31205483845226123,,,0
2017-02-08,0.31351111977414714,,,0
2017-02-09,0.3049291273284611,,,0
2017-02-10,0.3244598821631617,,,0
2017-02-13,0.32144297961909407,,,0
2017-02-14,0.3036446085587161,,,0
2017-02-15,0.25753915079589795,,,0
2017-02-16,0.23135579456308308,,,0
2017-02-17,0.21205306097602117,,,0
2017-02-21,0.15292512412987058,,,0
2017-02-22,0.12495280263947217,,,0
2017-02-23,0.09931639214330934,,,0
2017-02-24,0.08443000967842718,,,0
2017-02-27,0.07953726005019535,,,0
2017-02-28,0.09429621164839785,,,0
2017-03-01,0.12955105824767088,,,0
2017-03-02,0.07781563977116468,,,0
2017-03-03,0.06258398825886458,,,0
2017-03-06,0.0398815486174775,,,0
2017-03-07,0.020383034175830428,,,0
2017-03-08,0.0006347602873089109,,,0
2017-03-09,0.00304932887135978,,,0
2017-03-10,0.00391423320993578,,,0
2017-03-13,0.01686367688689705,,,0
2017-03-14,-0.011026486159456894,,,0
2017-03-15,0.03355666762753806,,,0
2017-03-16,0.031545970920857425,,,0
2017-03-17,0.009766539906593596,,,0
2017-03-20,0.009928520007029817,,,0
2017-03-21,0.02008519530743902,,,0
2017-03-22,0.05485368065095786,,,0
2017-03-23,0.0496867445309257,,,0
2017-03-24,0.04768231740792128,,,0
2017-03-27,0.004879281067323049,,,0
2017-03-28,0.034033410878580916,,,0
2017-03-29,0.03560390926386736,,,0
2017-03-30,0.09101238379928756,,,0
2017-03-31,0.09616974384049426,,,0
2017-04-03,0.07414049569196912,,,0
2017-04-04,0.08638825467620048,,,0
2017-04-05,0.07263364822662943,,,0
2017-04-06,0.06804466912638585,,,0
2017-04-07,0.0518696020717222,,,0
2017-04-10,0.06088697493839046,,,0
2017-04-11,0.07741338886560278,,,0
2017-04-12,0.03356003964967513,,,0
2017-04-13,0.01222585040006452,,,0
2017-04-17,0.02560517257921191,,,0
2017-04-18,0.006198909671169872,,,0
2017-04-19,-0.009943117213097263,,,0
2017-04-20,0.011279043335823413,,,0
2017-04-21,-0.005720262193500858,,,0
2017-04-24,-0.012378185157646548,,,0
2017-04-25,0.0456947178132201,,,0
2017-04-26,0.0507506484095992,,,0
2017-04-27,0.0046021325311160766,,,0
2017-04-28,0.0013035202139670687,,,0
2017-05-01,-0.005632655409145038,,,0
2017-05-02,0.012554820758662988,,,0
2017-05-03,-0.07038228178622363,,,0
2017-05-04,-0.07122253115855237,,,0
2017-05-05,-0.04992056787851462,,,0
2017-05-08,-0.05773037141428672,,,0
2017-05-09,-0.059597790229526826,,,0
2017-05-10,0.07888921625845802,,,0
2017-05-11,0.002134822444104678,,,0
2017-05-12,0.037278333207289904,,,0
2017-05-15,0.049060381702407785,,,0
2017-05-16,0.04782232459330116,,,0
2017-05-17,0.005159259427686358,,,0
2017-05-18,-0.05602550396961625,,,0
2017-05-19,-0.06630620706564105,,,0
2017-05-22,-0.04843404070989221,,,0
2017-05-23,-0.0003143602478017371,,,0
2017-05-24,0.050717569753231384,,,0
2017-05-25,0.007784141713073733,,,0
2017-05-26,0.001656009853097995,,,0
2017-05-30,-0.007318797261040455,,,0
2017-05-31,-0.031167987286773613,,,0
2017-06-01,-0.00519665062473873,,,0
2017-06-02,0.018389909670556204,,,0
2017-06-05,0.032775922307951344,,,0
2017-06-06,0.07409172049185653,,,0
2017-06-07,0.06659408488146878,,,0
2017-06-08,0.0827470206234131,,,0
2017-06-09,0.038443659999585655,,,0
2017-06-12,0.0044441121030396324,,,0
2017-06-13,-0.001941491339198631,,,0
2017-06-14,-0.02191051223471696,,,0
2017-06-15,-0.053199268856835236,,,0
2017-06-16,-0.02130191453261121,,,0
2017-06-19,-0.05262675649173687,,,0
2017-06-20,-0.011339117475585692,,,0
2017-06-21,-0.025124264364534632,,,0
2017-06-22,0.041702027290104304,,,0
2017-06-23,0.06178546419483899,,,0
2017-06-26,0.05370597076857564,,,0
2017-06-27,0.05564458636700742,,,0
2017-06-28,0.07208460106858317,,,0
2017-06-29,0.02050121651837955,,,0
2017-06-30,0.003667673750158418,,,0
2017-07-03,-0.000838633526085264,,,0
2017-07-05,0.015521805855940762,,,0
2017-07-06,-0.0258548213285974,,,0
2017-07-07,-0.031372348720512644,,,0
2017-07-10,0.022773163472508795,,,0
2017-07-11,0.11537608980357339,,,0
2017-07-12,0.13296801618956477,,,0
2017-07-13,0.13749625874115035,,,0
2017-07-14,0.17005286114979024,,,0
2017-07-17,0.18066929653320463,,,0
2017-07-18,0.19563642017184257,,,0
2017-07-19,0.2073409637911272,,,0
