pair,mr_regime,n_active_days,avg_daily_pnl_spread_units,pnl_std_spread_units,hit_rate
EOG_FANG,1,41,0.00682070171870621,0.02507120120551149,0.6341463414634146
FCX_GOLD,1,19,-0.002064364881426652,0.020923743243922772,0.47368421052631576
V_MA,1,34,0.00031431383417351464,0.004527571364202464,0.47058823529411764
