,AXP,MA,PYPL,V
AXP,,0.7642302133733186,,0.7876341868854125
MA,0.7642302133733186,,0.5409871942575353,0.003866177954769238
PYPL,,0.5409871942575353,,0.5676314741392027
V,0.7876341868854125,0.003866177954769238,0.5676314741392027,
