a,b,bucket,subcluster,train_nobs,pval_fdr,eg_pval_train,beta_train,oos_nobs,adf_pval_spread_oos_rollingbeta,pass_oos
FCX,GOLD,commodities,miners,1528,0.019347929151686784,0.0012898619434457857,0.6933444735827854,1020,0.006401370072415317,True
EOG,FANG,energy,e&p,1528,0.010448273683512343,0.0006965515789008229,0.7418212196211995,1020,0.019372504825168863,True
V,MA,financials,payments,1528,0.021330525346774685,0.0035550875577957807,0.7919279445931375,1020,0.042547657314709345,True
