,spread,half_life_roll,mean_crossings_roll,adf_p_roll,mr_regime_v2,mr_regime_adf,mr_regime_final
2022-12-02,0.07618445514320715,12.130011526958153,25.0,0.027912387420174784,1,1,1
2022-12-05,0.059630626588956126,12.092997265468348,25.0,0.03958393110396533,1,1,1
2022-12-06,0.05695532992307584,12.580434615646839,25.0,0.02364193087733634,1,1,1
2022-12-07,0.0650378990116236,11.894157105570915,25.0,0.0392315406985308,1,1,1
2022-12-08,0.06910533655775364,12.787500732458208,23.0,0.03983307120825429,1,1,1
2022-12-09,0.07793761120129705,12.855747709935011,21.0,0.0360062242887083,1,1,1
2022-12-12,0.09670621420675607,12.670054019063656,22.0,0.04358298464616153,1,1,1
2022-12-13,0.020806713536179355,13.018682740679631,23.0,0.035003260882993985,1,1,1
2022-12-14,0.02065447080288818,12.626450906749382,23.0,0.04568942623631874,1,1,1
2022-12-15,0.015295970639409795,13.335291344593253,23.0,0.03973874084973865,1,1,1
2022-12-16,0.03300623121039159,13.044348223388418,23.0,0.03710837005678159,1,1,1
2022-12-19,0.06043784413981834,12.84339835004759,23.0,0.042713749876122364,1,1,1
2022-12-20,0.08560326922405759,13.24897285858215,23.0,0.04435662808120776,1,1,1
2022-12-21,0.07431177602447736,13.385888676624965,23.0,0.045002064021487646,1,1,1
2022-12-22,0.07181069119248695,13.392101985153252,23.0,0.0442262460164007,1,1,1
2022-12-23,0.05844241596542332,13.421766186999236,22.0,0.043712486518605334,1,1,1
2022-12-27,0.06230762971910453,13.307967682610228,22.0,0.04147462932057615,1,1,1
2022-12-28,0.03659277561735097,13.253557195491762,22.0,0.050479906153357096,1,0,0
2022-12-29,0.06082905132648131,13.48958950683935,22.0,0.04757449899799428,1,1,1
2022-12-30,0.06500312562954091,13.48468811297119,22.0,0.04541730552518247,1,1,1
2023-01-03,0.054368607336945374,13.44159544795507,22.0,0.04368344034810438,1,1,1
2023-01-04,0.05455088083125581,13.298316043157643,22.0,0.04163960923004843,1,1,1
2023-01-05,0.044369243209589015,13.202374693198236,22.0,0.047614533579993505,1,1,1
2023-01-06,0.06505886521358617,13.335482694323751,22.0,0.03441569738055994,1,1,1
2023-01-09,0.0632725988179268,12.994210777958747,22.0,0.041856092523117006,1,1,1
2023-01-10,0.0532296300152133,13.442035300095592,22.0,0.034261701625881845,1,1,1
2023-01-11,0.06352822283336845,13.148131560498088,22.0,0.022232478345401225,1,1,1
2023-01-12,0.07505545125278879,12.3939994206222,22.0,0.027497808303232823,1,1,1
2023-01-13,0.0838499438277327,12.638535595599656,22.0,0.026809758482708296,1,1,1
2023-01-17,0.08657886699982331,12.616528723801922,22.0,0.026683427657255517,1,1,1
2023-01-18,0.050546725177460505,12.601538118213712,22.0,0.032612810022713885,1,1,1
2023-01-19,0.03962982462471132,12.914021336051716,22.0,0.03376406867276385,1,1,1
2023-01-20,0.014179014417604385,13.138941268755293,22.0,0.044630925318906556,1,1,1
2023-01-23,0.05335982551491103,13.21450256776319,22.0,0.04790675294426155,1,1,1
2023-01-24,0.07599548637629416,13.52994291550578,21.0,0.045311718482977166,1,1,1
2023-01-25,0.06377295075300227,13.544882224671452,21.0,0.04345895781867866,1,1,1
2023-01-26,0.07218759111146822,13.416251206938766,21.0,0.039331629837931564,1,1,1
2023-01-27,0.0720653679828005,13.153576543728459,21.0,0.03238380359100066,1,1,1
2023-01-30,0.06710273873750872,12.72011653042752,21.0,0.03062297237738674,1,1,1
2023-01-31,0.06068952087516255,12.510394016601872,21.0,0.036162664053205194,1,1,1
2023-02-01,0.0876439110486773,12.649662953191001,21.0,0.034864658029591725,1,1,1
2023-02-02,0.08118434230898552,12.644213069653347,21.0,0.029952288654746934,1,1,1
2023-02-03,0.057471064762578905,12.38690328818017,21.0,0.032373958466781615,1,1,1
2023-02-06,0.02182059259762381,12.547542776312822,21.0,0.022061275584761286,1,1,1
2023-02-07,-0.11032010489443467,12.866230173052069,23.0,0.05075528441922781,1,0,0
2023-02-08,-0.1260910873190877,13.557237651848203,25.0,0.0518777659850076,1,0,0
2023-02-09,-0.1853868697715062,15.667623045351343,27.0,0.0970754601193537,1,0,0
2023-02-10,-0.17961992860847076,15.563592293180973,25.0,0.06854416169585213,1,0,0
2023-02-13,-0.1827394528715054,15.29536539267799,25.0,0.08478726305273931,1,0,0
2023-02-14,-0.15188405445543474,14.570667789938026,25.0,0.0751185614704021,1,0,0
2023-02-15,-0.09261852206568877,13.612597087535288,23.0,0.04146545630626247,1,1,1
2023-02-16,-0.09450407779905756,13.884966413341163,21.0,0.05173921807662715,1,0,0
2023-02-17,-0.07211750971249264,13.664721153034447,27.0,0.04522473381745567,1,1,1
2023-02-21,-0.11659526695903999,14.665580131958052,27.0,0.07777735325986133,1,0,0
2023-02-22,-0.10983741389783708,14.885907952899405,25.0,0.08154609670523183,1,0,0
2023-02-23,-0.13609882957605945,16.146604735866013,27.0,0.10918775768369249,1,0,0
2023-02-24,-0.13020341183516493,16.256004794643268,29.0,0.10870512742591504,1,0,0
2023-02-27,-0.13690777127509302,16.869143400570735,27.0,0.12003140202609452,1,0,0
2023-02-28,-0.16087594497249924,17.99796725806517,27.0,0.1534474252863598,1,0,0
2023-03-01,-0.18137216894644137,19.365633779110308,26.0,0.17971870896479025,1,0,0
2023-03-02,-0.1898831494774198,20.35243010003544,23.0,0.1950017391941588,1,0,0
2023-03-03,-0.18511160889862888,20.324634165832762,23.0,0.20131741966445327,1,0,0
2023-03-06,-0.18723662510884687,21.421642469824864,27.0,0.21277198442140705,1,0,0
2023-03-07,-0.18795411201050216,21.889261717172065,25.0,0.21926677672696937,1,0,0
2023-03-08,-0.1872486275249301,22.215243112897802,25.0,0.2190088409343081,1,0,0
2023-03-09,-0.18228103698162101,22.04527582849535,27.0,0.2265366053948376,1,0,0
2023-03-10,-0.1709347972841595,22.273853023574333,25.0,0.22273806471423557,1,0,0
2023-03-13,-0.16752459464430158,22.64414693893782,23.0,0.21596009756948603,1,0,0
2023-03-14,-0.1630683851738608,22.719799710995776,23.0,0.21543724995127755,1,0,0
2023-03-15,-0.10166359781261702,20.09525130622794,21.0,0.1414179272601786,1,0,0
2023-03-16,-0.059289007191147824,19.010890593302396,21.0,0.1190371795994789,1,0,0
2023-03-17,-0.07418443178745582,19.566913234959344,21.0,0.13243760429537027,1,0,0
2023-03-20,-0.09241303046842608,20.028242440581465,21.0,0.13292658385153583,1,0,0
2023-03-21,-0.097307518564691,19.9334857620508,23.0,0.14658786596511297,1,0,0
2023-03-22,-0.06764180659399299,19.793088102654394,23.0,0.12038740263194408,1,0,0
2023-03-23,-0.0435661498758626,19.268952144787196,21.0,0.11462491864464763,1,0,0
2023-03-24,-0.010812605226048877,18.966367861352378,19.0,0.1051782912747729,1,0,0
2023-03-27,0.010251153402186297,18.86236289379867,19.0,0.09833437633594067,1,0,0
2023-03-28,0.020610734077485038,18.74745483076993,19.0,0.08440643522089891,1,0,0
2023-03-29,-0.005986196521989395,18.479469440496022,19.0,0.102456913742417,1,0,0
2023-03-30,0.02670427868353542,19.046343721914358,19.0,0.09637482119357244,1,0,0
2023-03-31,0.014119350384831364,19.153942817235347,19.0,0.09776540882516949,1,0,0
