a,b,bucket,subcluster,train_nobs,alpha_train,beta_train,r2_train,eg_tstat_train,eg_pval_train,crit_1%,crit_5%,crit_10%,pval_fdr,reject_fdr
FCX,GOLD,commodities,miners,1528,1.2705785128131297,0.6933444735827854,0.6312115149280414,-4.486270260929066,0.0012898619434457857,-3.9036265462495856,-3.340134301400377,-3.0472286386839977,0.019347929151686784,True
EOG,FANG,energy,e&p,1528,1.0027337060789627,0.7418212196211995,0.9488656855745501,-4.646450976663952,0.0006965515789008229,-3.9036265462495856,-3.340134301400377,-3.0472286386839977,0.010448273683512343,True
V,MA,financials,payments,1528,0.7158005175113609,0.7919279445931375,0.9957318394636071,-4.2073725457904345,0.0035550875577957807,-3.9036265462495856,-3.340134301400377,-3.0472286386839977,0.021330525346774685,True
CRM,ADBE,tech,software,1528,1.0388464788868854,0.704357349089811,0.9760542187464946,-4.355157414826041,0.0020973535890802504,-3.9036265462495856,-3.340134301400377,-3.0472286386839977,0.0057835375691151665,True
NOW,ADBE,tech,software,1528,-2.9330211469890908,1.2102557086736827,0.9847213903918653,-4.296952146232956,0.0025885772493421007,-3.9036265462495856,-3.340134301400377,-3.0472286386839977,0.0057835375691151665,True
CRM,NOW,tech,software,1528,2.7664729720356527,0.576451287032173,0.9724202104412799,-4.265936554155615,0.0028917687845575833,-3.9036265462495856,-3.340134301400377,-3.0472286386839977,0.0057835375691151665,True
