,spread,adf_p_roll,half_life_roll,mr_regime
2017-01-03,-0.03925683665122204,,,0
2017-01-04,-0.03673477041666473,,,0
2017-01-05,-0.02949917179135131,,,0
2017-01-06,-0.019888999544588337,,,0
2017-01-09,-0.02388832764491866,,,0
2017-01-10,-0.027454698583191828,,,0
2017-01-11,-0.023813584506647167,,,0
2017-01-12,-0.03383762341595187,,,0
2017-01-13,-0.03553751237828262,,,0
2017-01-17,-0.03205148166855398,,,0
2017-01-18,-0.028734947719168957,,,0
2017-01-19,-0.025609230761697965,,,0
2017-01-20,-0.031357461244940765,,,0
2017-01-23,-0.024988461137608553,,,0
2017-01-24,-0.012876359033221263,,,0
2017-01-25,-0.00582293473428841,,,0
2017-01-26,-0.009134483626206169,,,0
2017-01-27,-0.004774351767246721,,,0
2017-01-30,-0.002230888198259784,,,0
2017-01-31,0.0015574791216135253,,,0
2017-02-01,0.005420236898200592,,,0
2017-02-02,0.0029137811532784497,,,0
2017-02-03,0.04001764092341542,,,0
2017-02-06,0.03658755599258434,,,0
2017-02-07,0.03556769943329563,,,0
2017-02-08,0.026953683243390536,,,0
2017-02-09,0.029819066327753774,,,0
2017-02-10,0.03364499191028969,,,0
2017-02-13,0.03481754646986435,,,0
2017-02-14,0.03637876659565631,,,0
2017-02-15,0.042041098264382626,,,0
2017-02-16,0.04196506425654878,,,0
2017-02-17,0.04161372911015704,,,0
2017-02-21,0.042781479972216374,,,0
2017-02-22,0.04453716700132748,,,0
2017-02-23,0.041766643198181796,,,0
2017-02-24,0.042853068685397844,,,0
2017-02-27,0.03954586016856165,,,0
2017-02-28,0.038978122965791506,,,0
2017-03-01,0.04098980714630329,,,0
2017-03-02,0.04010101658023846,,,0
2017-03-03,0.04031707480472857,,,0
2017-03-06,0.043395640593872464,,,0
2017-03-07,0.04624536616476238,,,0
2017-03-08,0.044607971705368676,,,0
2017-03-09,0.047087154942679454,,,0
2017-03-10,0.05160265605874326,,,0
2017-03-13,0.0539435851927772,,,0
2017-03-14,0.052667920963522796,,,0
2017-03-15,0.048481499054108035,,,0
2017-03-16,0.046064646108816554,,,0
2017-03-17,0.04702125004302271,,,0
2017-03-20,0.036819144930639425,,,0
2017-03-21,0.03264032056904309,,,0
2017-03-22,0.03371263368687938,,,0
2017-03-23,0.036541902766911605,,,0
2017-03-24,0.03793164279965566,,,0
2017-03-27,0.03505563506480591,,,0
2017-03-28,0.03388549117973749,,,0
2017-03-29,0.03626622961318038,,,0
2017-03-30,0.030663401226481035,,,0
2017-03-31,0.029706708739150933,,,0
2017-04-03,0.035976229909030266,,,0
2017-04-04,0.029735159109921305,,,0
2017-04-05,0.031091717799515806,,,0
2017-04-06,0.02938812913196731,,,0
2017-04-07,0.026030015823470087,,,0
2017-04-10,0.026558657202531144,,,0
2017-04-11,0.027186238509984584,,,0
2017-04-12,0.02835503018577512,,,0
2017-04-13,0.03149400161465277,,,0
2017-04-17,0.03361361731164436,,,0
2017-04-18,0.03305402292442583,,,0
2017-04-19,0.03409442881677194,,,0
2017-04-20,0.03635535895278963,,,0
2017-04-21,0.0374964386033394,,,0
2017-04-24,0.036592012949089536,,,0
2017-04-25,0.0363648106421568,,,0
2017-04-26,0.032325612933429504,,,0
2017-04-27,0.024169698237643367,,,0
2017-04-28,0.023882599155994555,,,0
2017-05-01,0.023641091985695084,,,0
2017-05-02,0.027439783003411655,,,0
2017-05-03,0.030211741180425022,,,0
2017-05-04,0.02834665079305676,,,0
2017-05-05,0.024478958952234287,,,0
2017-05-08,0.027265253670173628,,,0
2017-05-09,0.02885552222143062,,,0
2017-05-10,0.029755699012786074,,,0
2017-05-11,0.028335813256322062,,,0
2017-05-12,0.03131096330572003,,,0
2017-05-15,0.030027489712275646,,,0
2017-05-16,0.027110017188851643,,,0
2017-05-17,0.02310720937192201,,,0
2017-05-18,0.025529465116104433,,,0
2017-05-19,0.025789232493325542,,,0
2017-05-22,0.026211302657939584,,,0
2017-05-23,0.028226752603352168,,,0
2017-05-24,0.03157090036597765,,,0
2017-05-25,0.026424368396396503,,,0
2017-05-26,0.023583126052696635,,,0
2017-05-30,0.02349835696319147,,,0
2017-05-31,0.021376503646871825,,,0
2017-06-01,0.019716094281134744,,,0
2017-06-02,0.016940699626859512,,,0
2017-06-05,0.0166985922332632,,,0
2017-06-06,0.01197359689769062,,,0
2017-06-07,0.014997617991097556,,,0
2017-06-08,0.016992006428692363,,,0
2017-06-09,0.010383801150458893,,,0
2017-06-12,0.012193764061826151,,,0
2017-06-13,0.019437544325686673,,,0
2017-06-14,0.02048647928844094,,,0
2017-06-15,0.014298045792387803,,,0
2017-06-16,0.01075465608254067,,,0
2017-06-19,0.010363424076003547,,,0
2017-06-20,0.006777444676488109,,,0
2017-06-21,0.0073566856220619314,,,0
2017-06-22,-0.0001738239007504916,,,0
2017-06-23,0.01291122445109849,,,0
2017-06-26,0.011796630356164073,,,0
2017-06-27,0.01292612294313411,,,0
2017-06-28,0.014577775199628107,,,0
2017-06-29,0.014884025313066651,,,0
2017-06-30,0.008183238893828992,,,0
2017-07-03,0.007458471653454701,,,0
2017-07-05,0.005760599868753324,,,0
2017-07-06,0.0045759714562212395,,,0
2017-07-07,0.0029985354014776533,,,0
2017-07-10,0.011972516801080246,,,0
2017-07-11,0.0057213488768823595,,,0
2017-07-12,0.006926300882895475,,,0
2017-07-13,0.002700820217279798,,,0
2017-07-14,0.0032528736976109585,,,0
2017-07-17,-0.0007893245881946953,,,0
2017-07-18,0.004588026763545194,,,0
2017-07-19,0.008993568534103602,,,0
