ticker,FCX,NEM,GOLD,RIO,BHP,VALE,NUE,STLD,AA,LIN,APD,ECL,CF,MOS
FCX,1.0,0.3597622866805985,0.21175284037678505,0.700140225809567,0.7068424357945651,0.6358004698404879,0.5509250280688421,0.5574347561081804,0.6604007559433424,0.46115512033205613,0.4091334124708865,0.3925765028511377,0.4456687166415808,0.5168200979089331
NEM,0.3597622866805985,1.0,0.20709661006691304,0.3225360811593557,0.33143820304463545,0.2676973875721504,0.16813976830827115,0.14885387390670307,0.2649527385618709,0.18027318034693102,0.18286562282512084,0.17266366944763273,0.1250024188768717,0.1669644579887514
GOLD,0.21175284037678505,0.20709661006691304,1.0,0.1783117067572386,0.1799297819461875,0.16067049740414213,0.18927936512766178,0.17852713329424552,0.22725381600913896,0.13174766817701375,0.09536161801149927,0.12160815690279156,0.12650939721677118,0.15271323000742026
RIO,0.700140225809567,0.3225360811593557,0.1783117067572386,1.0,0.8981047489936397,0.7657381928008746,0.5280961046174842,0.5284413929052996,0.5984504774419902,0.46817017360790236,0.4166291079962932,0.38302661660448745,0.41303652151540515,0.4633588848303946
BHP,0.7068424357945651,0.33143820304463545,0.1799297819461875,0.8981047489936397,1.0,0.7437168526275417,0.5294964783826611,0.535391660149806,0.610395851384563,0.49235308504352865,0.44819567495399226,0.4098675654332466,0.43763783710366416,0.4901346863771209
VALE,0.6358004698404879,0.2676973875721504,0.16067049740414213,0.7657381928008746,0.7437168526275417,1.0,0.4584963379426974,0.46878897852925683,0.5325713227207738,0.3960992895930598,0.35865317010516057,0.32810391429276103,0.37617171766295837,0.42985739752591207
NUE,0.5509250280688421,0.16813976830827115,0.18927936512766178,0.5280961046174842,0.5294964783826611,0.4584963379426974,1.0,0.8668485395240576,0.5649679526228251,0.5007177226874747,0.45720650091390924,0.4546127265085336,0.41826646725269906,0.47680832061898415
STLD,0.5574347561081804,0.14885387390670307,0.17852713329424552,0.5284413929052996,0.535391660149806,0.46878897852925683,0.8668485395240576,1.0,0.5800921987028588,0.46210521648130337,0.41185359253143333,0.41527867428537946,0.4341847353425337,0.5033196739766118
AA,0.6604007559433424,0.2649527385618709,0.22725381600913896,0.5984504774419902,0.610395851384563,0.5325713227207738,0.5649679526228251,0.5800921987028588,1.0,0.40017072631453054,0.38236682638443176,0.359108722315869,0.41635747945002155,0.4957384035926082
LIN,0.46115512033205613,0.18027318034693102,0.13174766817701375,0.46817017360790236,0.49235308504352865,0.3960992895930598,0.5007177226874747,0.46210521648130337,0.40017072631453054,1.0,0.6648361089731942,0.6177570142581059,0.37449018139276524,0.39464841292707553
APD,0.4091334124708865,0.18286562282512084,0.09536161801149927,0.4166291079962932,0.44819567495399226,0.35865317010516057,0.45720650091390924,0.41185359253143333,0.38236682638443176,0.6648361089731942,1.0,0.5614399464241505,0.3258496157123726,0.32640591639085215
ECL,0.3925765028511377,0.17266366944763273,0.12160815690279156,0.38302661660448745,0.4098675654332466,0.32810391429276103,0.4546127265085336,0.41527867428537946,0.359108722315869,0.6177570142581059,0.5614399464241505,1.0,0.30364467353017843,0.3319958842138817
CF,0.4456687166415808,0.1250024188768717,0.12650939721677118,0.41303652151540515,0.43763783710366416,0.37617171766295837,0.41826646725269906,0.4341847353425337,0.41635747945002155,0.37449018139276524,0.3258496157123726,0.30364467353017843,1.0,0.7111242051625715
MOS,0.5168200979089331,0.1669644579887514,0.15271323000742026,0.4633588848303946,0.4901346863771209,0.42985739752591207,0.47680832061898415,0.5033196739766118,0.4957384035926082,0.39464841292707553,0.32640591639085215,0.3319958842138817,0.7111242051625715,1.0
