a,b,bucket,subcluster,train_nobs,corr,alpha_train,beta_train,r2_train,eg_tstat_train,eg_pval_train,crit_1%,crit_5%,crit_10%
CVX,XOM,energy,integrated,1528,0.8309895612878839,2.8683695651014007,0.3807045121423388,0.2711670544185728,-2.5443945693281775,0.25984838840982327,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
KMI,WMB,energy,midstream,1528,0.7026217575358948,1.4230200357528355,0.3731064217868293,0.32459219007969586,-3.0198470167354965,0.10556291799156625,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
HAL,SLB,energy,services,1528,0.8617627396452171,-0.18078183234980427,0.9473027725158674,0.9172446782663963,-2.847735766694331,0.1509678304013647,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
PNC,TFC,financials,banks,1528,0.8690938074809387,0.1590360295643112,1.2635746138583979,0.9394258562465886,-3.8131992138808535,0.013016424559414878,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,TFC,financials,banks,1528,0.8223304648830249,-2.2463128993849835,1.518267356886384,0.9065223442842865,-3.020777336873377,0.10534896330506305,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,PNC,financials,banks,1528,0.8488116209589902,-2.4066242839357317,1.1949057178054927,0.9543079837953763,-2.714506191822112,0.19440481275241378,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GS,MS,financials,banks,1528,0.8682053562341883,2.7130376248227392,0.6972284260694006,0.9338712026743616,-2.620983184973114,0.22927419993965337,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
C,JPM,financials,banks,1528,0.8526305761944127,1.4439662528194674,0.5448885124849401,0.6838311528751562,-2.5425050959567783,0.2606515322383248,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
C,WFC,financials,banks,1528,0.7960788416059229,2.127022729175091,0.4799603049965361,0.2610314172002852,-2.5362781172410394,0.26330791302145107,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
C,USB,financials,banks,1528,0.7833784938923445,-0.15788510967789796,1.114703470742234,0.8257970661513941,-2.350366332043933,0.34870792098627273,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
C,MS,financials,banks,1528,0.8187571318393546,2.3969477206585506,0.40136209607200724,0.5586830031787452,-2.2964501940016184,0.37532543949441277,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
C,PNC,financials,banks,1528,0.7998555039668928,0.8423183881465054,0.6552409717550901,0.7653215128668647,-2.2831242462437427,0.3820031771589609,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
C,GS,financials,banks,1528,0.8168679423531876,0.8952629162969499,0.5642598291104508,0.5747966117160308,-2.20876610098387,0.4198477215268238,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
USB,WFC,financials,banks,1528,0.7943489882785719,1.8558070975972574,0.48396186656157947,0.39934642158347267,-2.0438022923341705,0.5057470613307763,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,JPM,financials,banks,1528,0.8834374666803901,-1.5970023411227494,1.0582261964510118,0.967097015394665,-1.9837429265223132,0.5370177175890666,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
TFC,USB,financials,banks,1528,0.8668892116413603,-0.6614335493051855,1.1602816463795558,0.8530587045100124,-1.9626431097202515,0.5479335593552457,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
JPM,PNC,financials,banks,1528,0.8247327906587835,-0.6232232416277681,1.0984690040132397,0.9338644984932652,-1.9251990692783703,0.5671736973878064,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,MS,financials,banks,1528,0.831987107266541,0.10819687922844035,0.8191272656443103,0.8725191345720398,-1.6927306202219914,0.6802169731029297,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,USB,financials,banks,1528,0.81602512336967,-2.9305092079067228,1.6730680493308219,0.697527426698213,-1.6198519698583602,0.7124383171241888,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,GS,financials,banks,1528,0.8142007971156137,-2.5541515417661973,1.0752752511804449,0.7826627819834286,-1.6152304973767213,0.7144186872611967,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
JPM,USB,financials,banks,1528,0.785984515071109,-0.8976966688825021,1.480730357188805,0.6326638379048379,-1.593735934041743,0.7235266996763444,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
JPM,WFC,financials,banks,1528,0.8040068581862302,3.894908814376224,0.15386839704251343,0.011647894307729834,-1.5421899399643482,0.7446611609589484,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GS,JPM,financials,banks,1528,0.8201297098446069,1.8277881227806407,0.7736253573538396,0.7635527345906393,-1.5288891466367895,0.7499484262564804,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
PNC,USB,financials,banks,1528,0.8580950313932397,-0.614008112970345,1.4487468820269833,0.7825242907686767,-1.5106697008438192,0.7570779904643179,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,C,financials,banks,1528,0.8680248297372573,-2.399597544055327,1.4249722678639896,0.7613638869391981,-1.4235640036456412,0.7893220732066895,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,WFC,financials,banks,1528,0.8351843162113508,1.9554929737307984,0.3194877357563224,0.043368057651825165,-1.2125770502804187,0.8545767923003382,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
PNC,WFC,financials,banks,1528,0.7938796653227161,3.2930173782120646,0.36579069775174927,0.08505613103771026,-1.0859339889006596,0.8852997167051029,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
JPM,MS,financials,banks,1528,0.8193500884009686,1.643177324444435,0.7653968798110555,0.882129902565761,-0.988991507339869,0.9049152595778712,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MA,V,financials,payments,1528,0.8988602407586399,-0.8775331582716901,1.2573515636895176,0.9957318394636071,-4.183298727222333,0.003866177954769238,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MA,PYPL,financials,payments,1528,0.5418341621523227,1.9330152423625957,0.7322352265078177,0.9257766820117315,-1.9760804299543553,0.5409871942575353,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
PYPL,V,financials,payments,1528,0.533612519114057,-3.27049803510371,1.6009469721462812,0.934927285335987,-1.9243035490834872,0.5676314741392027,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AXP,MA,financials,payments,1528,0.6475696146704863,1.401758001473195,0.5918349380560961,0.8328464254163644,-1.4920439674170005,0.7642302133733186,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AXP,V,financials,payments,1528,0.64595141750187,0.8536716775542554,0.7500240481808291,0.8424478882063162,-1.428339745764043,0.7876341868854125,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AAPL,META,tech,mega,1528,0.514488476260648,-5.017972827097683,1.7230142206236856,0.9274575457269291,-3.3964099284887115,0.042750784498373,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GOOGL,META,tech,mega,1528,0.6057719557890263,-1.6507419697103116,1.1043427325038195,0.9297356830592504,-3.0026873364913103,0.10956809977456405,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
META,MSFT,tech,mega,1528,0.5792327881197751,2.668995579692343,0.5427567268759701,0.8929447434075571,-2.8862618720147446,0.13977396365010736,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AAPL,GOOGL,tech,mega,1528,0.6087195949253489,-2.235376673880385,1.5099433040236865,0.9342989309679053,-2.415060743404975,0.31775541998423673,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AAPL,MSFT,tech,mega,1528,0.6638165047257735,-0.7650278473542065,1.008610691716023,0.9633355910447836,-2.1843382549595076,0.4324540386059756,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AMZN,META,tech,mega,1528,0.6021274181099386,-3.5495726320968872,1.5200952693637397,0.8605842713825904,-2.018362555411981,0.5190206169286222,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GOOGL,MSFT,tech,mega,1528,0.6926070954423762,1.150575040075728,0.6304319439799735,0.9184220909997692,-1.6653142270868944,0.6925522274935643,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AMZN,MSFT,tech,mega,1528,0.6587021518062024,0.07336188029620658,0.9172533390571509,0.9498270807258078,-1.4862207280274469,0.7664378215447334,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AMZN,GOOGL,tech,mega,1528,0.6375814770419898,-1.0115297255255917,1.3119304859765668,0.8408561273112661,-1.2065346483085282,0.856181535668475,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AAPL,AMZN,tech,mega,1528,0.5713673830173137,-0.5944492722624855,1.042398444848451,0.9114482919211915,-1.0272423571714528,0.897557445380962,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AVGO,TXN,tech,semis,1528,0.582972335879386,-1.534979724796693,1.0386236782923055,0.9434661654372113,-2.865061574958801,0.1458586355282976,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AVGO,QCOM,tech,semis,1528,0.586508459200563,-0.6514273374307582,0.9045406091807269,0.8419360198225199,-2.7372839881740862,0.18645645937507588,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
INTC,TXN,tech,semis,1528,0.5700304591602374,1.1813345297402127,0.5575187274886403,0.7872903236614207,-2.6961926021419136,0.20095101735718823,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
INTC,MU,tech,semis,1528,0.5119603575592278,2.243569393453294,0.39405615626284385,0.8050701576378702,-2.6416779632101894,0.22125189028886738,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MU,NVDA,tech,semis,1528,0.582914835556288,2.650446079601358,0.6023085559102594,0.8912110141214975,-2.4884478552380673,0.2841875076402085,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AMD,TXN,tech,semis,1528,0.5022845309402675,-8.306482743958231,2.561309351269342,0.9088598166283064,-2.369342080463625,0.33950930153419673,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NVDA,QCOM,tech,semis,1528,0.5609439868913809,-5.800914606156127,1.7876503354601825,0.7477117880495907,-2.2715963849114393,0.3878082366890178,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
QCOM,TXN,tech,semis,1528,0.6281442841166596,-0.23641458815141742,0.9831230342319293,0.8214907603719339,-2.2481796165976067,0.39967522325706994,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MU,TXN,tech,semis,1528,0.6064323685460925,-2.396663840914668,1.3481460204123685,0.8879169904837787,-2.20759914113107,0.42044831723545056,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AVGO,NVDA,tech,semis,1528,0.6132018488450788,2.3757258287972216,0.4505276484203482,0.8926819843127017,-2.1671216141116774,0.4413772527798168,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NVDA,TXN,tech,semis,1528,0.5656640548156,-7.968884638120928,2.1467037353332277,0.916431992628468,-2.0896668896730324,0.4817696246135311,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AMD,MU,tech,semis,1528,0.5061216681842688,-2.8628076006407577,1.6558637027498868,0.7775413720156626,-1.840730176466446,0.6097354138042979,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MU,QCOM,tech,semis,1528,0.5523580849672413,-0.5635173218579834,1.0096096735425795,0.5858933443608938,-1.7052465841535023,0.6745037529084164,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AMD,NVDA,tech,semis,1528,0.6149578691686372,1.3255799534714776,1.1182547608514315,0.8711608014810641,-1.6819356760207345,0.685103688978606,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AVGO,MU,tech,semis,1528,0.6000151607680424,0.6555312104465711,0.6761000540240991,0.8183391609895097,-1.620734148086229,0.7120594110985913,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
ADBE,NOW,tech,software,1528,0.6597647798030054,2.470503071636294,0.8136473832220309,0.9847213903918653,-4.367930107256671,0.002001811002426283,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
ADBE,CRM,tech,software,1528,0.6727933266972458,-1.307826132154064,1.3857372539773782,0.9760542187464946,-4.318466081144514,0.002395802245931395,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
CRM,NOW,tech,software,1528,0.6962785603477115,2.7664729720356527,0.576451287032173,0.9724202104412799,-4.265936554155615,0.0028917687845575833,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
