a,b,bucket,subcluster,train_nobs,corr,alpha_train,beta_train,r2_train,eg_tstat_train,eg_pval_train,crit_1%,crit_5%,crit_10%,pval_fdr,reject_fdr,beta_ok
EOG,FANG,energy,e&p,1528,0.8181679768463508,1.0027337060789627,0.7418212196211995,0.9488656855745501,-4.646450976663952,0.0006965515789008229,-3.9036265462495856,-3.340134301400377,-3.0472286386839977,0.010448273683512343,True,True
MA,V,financials,payments,1528,0.8988602407586399,-0.8775331582716901,1.2573515636895176,0.9957318394636071,-4.183298727222333,0.003866177954769238,-3.9036265462495856,-3.340134301400377,-3.0472286386839977,0.01933088977384619,True,True
ADBE,NOW,tech,software,1528,0.6597647798030054,2.470503071636294,0.8136473832220309,0.9847213903918653,-4.367930107256671,0.002001811002426283,-3.9036265462495856,-3.340134301400377,-3.0472286386839977,0.0028917687845575833,True,True
ADBE,CRM,tech,software,1528,0.6727933266972458,-1.307826132154064,1.3857372539773782,0.9760542187464946,-4.318466081144514,0.002395802245931395,-3.9036265462495856,-3.340134301400377,-3.0472286386839977,0.0028917687845575833,True,True
CRM,NOW,tech,software,1528,0.6962785603477115,2.7664729720356527,0.576451287032173,0.9724202104412799,-4.265936554155615,0.0028917687845575833,-3.9036265462495856,-3.340134301400377,-3.0472286386839977,0.0028917687845575833,True,True
