ticker,date,ret,adj_close
AA,2020-03-24,0.2821873923378775,6.944140911102295
AA,2020-03-09,-0.2107174052301949,8.300492286682129
AA,2020-03-12,-0.1836956228014952,7.1733832359313965
AA,2020-03-18,-0.1785715202636302,5.492270469665527
AA,2020-05-18,0.1711712657114406,7.450385093688965
AAPL,2025-04-09,0.1532884850891707,197.98709106445312
AAPL,2020-03-16,-0.12864658120818317,58.524227142333984
AAPL,2020-03-13,0.11980813429632531,67.16474151611328
AAPL,2020-07-31,0.10468884683238944,102.97869110107422
AAPL,2020-03-24,0.10032550484563152,59.65260696411133
ADBE,2020-03-13,0.17719298245614046,335.5
ADBE,2022-09-15,-0.1679317021312774,309.1300048828125
ADBE,2020-03-16,-0.1474515684670734,286.0299987792969
ADBE,2024-06-14,0.14511489894353313,525.3099975585938
ADBE,2025-03-13,-0.13853171208411885,377.8399963378906
AMD,2016-04-22,0.5229008335186689,3.990000009536743
AMD,2017-05-02,-0.24229076493853452,10.319999694824219
AMD,2025-04-09,0.23820480081192907,96.83999633789062
AMD,2025-10-06,0.23708027557556832,203.7100067138672
AMD,2019-01-30,0.19948052740716316,23.09000015258789
AMZN,2022-04-29,-0.140494377749234,124.28150177001953
AMZN,2022-02-04,0.13535901735711864,157.63949584960938
AMZN,2017-10-27,0.13216381132847022,55.04750061035156
AMZN,2022-11-10,0.12177847617944293,96.62999725341797
AMZN,2025-04-09,0.11977031526306248,191.10000610351562
APA,2020-03-09,-0.5386474125157188,8.224353790283203
APA,2020-03-16,-0.32342011133343584,4.702091693878174
APA,2020-03-24,0.29466311376131604,4.805433750152588
APA,2020-01-07,0.26794030303906036,27.783004760742188
APA,2020-06-05,0.23615378872612247,13.88022518157959
APD,2024-02-05,-0.15551769273781435,206.8513641357422
APD,2020-03-17,0.13723343816626699,177.3082733154297
APD,2023-11-07,-0.1264675017872342,239.88397216796875
APD,2020-03-16,-0.12604222414252175,155.9119415283203
APD,2020-03-09,-0.10691734544835085,177.3515167236328
AVGO,2024-12-13,0.2443264377371106,222.1914825439453
AVGO,2020-03-16,-0.19912912169020291,16.137706756591797
AVGO,2025-04-09,0.18663081307493257,184.04713439941406
AVGO,2025-01-27,-0.17396805797555204,200.31985473632812
AVGO,2020-03-18,-0.1585884846053578,14.442036628723145
AXP,2020-03-24,0.21882293966886102,77.72541809082031
AXP,2020-11-09,0.21387925663831764,110.09417724609375
AXP,2020-03-13,0.19238638112303574,92.10531616210938
AXP,2020-03-18,-0.14818647942060648,68.20047760009766
AXP,2020-04-06,0.13953788320131233,77.98978424072266
BAC,2020-03-13,0.17796207678346443,20.985271453857422
BAC,2020-03-24,0.16316397577854547,18.26656723022461
BAC,2020-03-16,-0.15397353250576284,17.75409507751465
BAC,2020-03-09,-0.14702431273298866,19.04830551147461
BAC,2020-11-09,0.14191672013867707,24.44951057434082
BHP,2020-03-09,-0.1647904981413847,21.96255874633789
BHP,2020-03-24,0.14943254196207012,22.964006423950195
BHP,2020-03-12,-0.12750352739433768,19.480985641479492
BHP,2020-03-18,-0.11241754674413751,19.493581771850586
BHP,2020-03-13,0.10863240133519403,21.597251892089844
C,2020-03-16,-0.19298595419728282,33.164520263671875
C,2020-03-13,0.17984305627914532,41.09534454345703
C,2020-03-09,-0.16171670056895537,41.36104202270508
C,2020-03-24,0.14891212978535773,32.73778533935547
C,2020-03-12,-0.14825754428887938,34.83119583129883
CF,2020-03-24,0.16243163672290173,22.1563720703125
CF,2020-03-09,-0.15390858642212635,26.956056594848633
CF,2020-03-12,-0.13832035587747504,21.11860466003418
CF,2020-03-13,0.13349703415689218,23.937875747680664
CF,2020-03-16,-0.13294778205628033,20.755388259887695
COP,2020-03-24,0.2521385681597408,24.666688919067383
COP,2020-03-09,-0.24840080480196403,27.338781356811523
COP,2020-03-16,-0.16889745310773308,20.92736053466797
COP,2020-11-09,0.14354262013335317,27.66498374938965
COP,2020-04-02,0.14314670316592437,27.170269012451172
CRM,2020-08-26,0.2604489172662594,269.0509338378906
CRM,2024-05-30,-0.19737132607222685,215.6742706298828
CRM,2020-03-16,-0.15888472436231327,122.807861328125
CRM,2016-02-05,-0.12931548120078096,57.807621002197266
CRM,2021-12-01,-0.11741994478984663,248.48089599609375
CVX,2020-03-24,0.22740701421689602,51.01996612548828
CVX,2020-03-18,-0.2212475573840963,42.20359420776367
CVX,2020-03-16,-0.16446893628712334,53.43488311767578
CVX,2020-03-09,-0.15369259674474844,61.84494400024414
CVX,2020-11-09,0.11595220670991346,62.6553840637207
DVN,2020-03-09,-0.3739717582853552,6.081146240234375
DVN,2020-03-19,0.21072138960600273,4.810322284698486
DVN,2020-03-24,0.19902900993053252,5.4419050216674805
DVN,2020-03-13,0.1966985270273034,6.389279842376709
DVN,2020-03-18,-0.1625388303831774,3.973104238510132
ECL,2020-03-24,0.22160978374835283,143.85321044921875
ECL,2020-03-23,-0.11742317980139039,117.75708770751953
ECL,2020-03-12,-0.1153391581663904,154.8175506591797
ECL,2020-03-20,-0.11091617123071706,133.42417907714844
ECL,2020-06-11,-0.10344823375817636,190.4689178466797
EOG,2020-03-09,-0.3200723742219279,28.486587524414062
EOG,2020-11-09,0.16570275401690515,31.37148666381836
EOG,2020-03-12,-0.1636643766882172,24.62271499633789
EOG,2020-03-24,0.15228714432458368,30.15335464477539
EOG,2020-04-17,0.1456733584965888,31.982906341552734
FANG,2020-03-09,-0.44645798221379596,21.132568359375
FANG,2020-11-09,0.3096199585470283,25.926904678344727
FANG,2020-03-18,-0.23084513894048175,12.232991218566895
