,spread,adf_p_roll,half_life_roll,mr_regime
2017-01-03,0.05994987038914612,,,0
2017-01-04,0.056818225461472416,,,0
2017-01-05,0.06013547413973708,,,0
2017-01-06,0.06865219681482593,,,0
2017-01-09,0.06697814876974206,,,0
2017-01-10,0.05705971822567335,,,0
2017-01-11,0.058216835525115584,,,0
2017-01-12,0.06553147244610535,,,0
2017-01-13,0.08566377421832883,,,0
2017-01-17,0.09447726170723492,,,0
2017-01-18,0.09182442022894399,,,0
2017-01-19,0.07069769545272653,,,0
2017-01-20,0.06356267943631178,,,0
2017-01-23,0.05268921460873699,,,0
2017-01-24,0.037948181956061866,,,0
2017-01-25,0.02491519063099723,,,0
2017-01-26,0.0127795213584605,,,0
2017-01-27,-0.0018331122753885154,,,0
2017-01-30,0.024614155078134026,,,0
2017-01-31,0.0004394655253161517,,,0
2017-02-01,-0.011365997105645675,,,0
2017-02-02,-0.012502925211542504,,,0
2017-02-03,0.002096693238774705,,,0
2017-02-06,-0.020793984033069535,,,0
2017-02-07,0.009355839573089497,,,0
2017-02-08,0.014100971685362396,,,0
2017-02-09,-0.005300554785960365,,,0
2017-02-10,0.0015428033957318732,,,0
2017-02-13,-0.0044502199324343295,,,0
2017-02-14,-0.03117564561114694,,,0
2017-02-15,-0.07831505905117275,,,0
2017-02-16,-0.055347746150056665,,,0
2017-02-17,-0.05256450041467531,,,0
2017-02-21,-0.039604699047349534,,,0
2017-02-22,-0.008020893287251418,,,0
2017-02-23,0.0039267390266006785,,,0
2017-02-24,-0.003272820323879877,,,0
2017-02-27,-0.0005465529121613244,,,0
2017-02-28,-0.0012254487853908813,,,0
2017-03-01,-0.022552000918130588,,,0
2017-03-02,-0.017778897964268126,,,0
2017-03-03,-0.013812628447948505,,,0
2017-03-06,-0.0028108119284429023,,,0
2017-03-07,-0.014801086287497434,,,0
2017-03-08,-0.010769464896968728,,,0
2017-03-09,-0.02067448270375838,,,0
2017-03-10,-0.030006778967751835,,,0
2017-03-13,-0.026020140383341328,,,0
2017-03-14,0.002974132688492226,,,0
2017-03-15,-0.022407965738081792,,,0
2017-03-16,-0.04075524084706572,,,0
2017-03-17,-0.04791785407018878,,,0
2017-03-20,-0.03933614208963476,,,0
2017-03-21,-0.03943822135975683,,,0
2017-03-22,-0.027426714138032438,,,0
2017-03-23,-0.007885746834159768,,,0
2017-03-24,-0.008876871258434171,,,0
2017-03-27,-0.015504203612501932,,,0
2017-03-28,-0.02153505543184764,,,0
2017-03-29,-0.0255944878234855,,,0
2017-03-30,-0.018144748537157973,,,0
2017-03-31,-0.025906124804508046,,,0
2017-04-03,-0.03582492019288086,,,0
2017-04-04,-0.05195381165277979,,,0
2017-04-05,-0.01642683141473178,,,0
2017-04-06,-0.03077626967346525,,,0
2017-04-07,-0.03412214422997106,,,0
2017-04-10,-0.023899918897486216,,,0
2017-04-11,-0.043392430055839704,,,0
2017-04-12,-0.050812288447295906,,,0
2017-04-13,-0.05577778446310422,,,0
2017-04-17,-0.055376609551361256,,,0
2017-04-18,-0.04292532601997934,,,0
2017-04-19,-0.029992647948855478,,,0
2017-04-20,-0.026588289623917127,,,0
2017-04-21,-0.034726294323067286,,,0
2017-04-24,-0.038347479697622866,,,0
2017-04-25,-0.04644293583891557,,,0
2017-04-26,-0.04787081207308841,,,0
2017-04-27,-0.030760414825486748,,,0
2017-04-28,-0.02906590631631456,,,0
2017-05-01,-0.023978470244363947,,,0
2017-05-02,-0.018915570512529456,,,0
2017-05-03,-0.041744303918421544,,,0
2017-05-04,-0.01769022381284646,,,0
2017-05-05,-0.043953044842419686,,,0
2017-05-08,-0.04588810485858197,,,0
2017-05-09,-0.0349183369508399,,,0
2017-05-10,-0.03441296062737287,,,0
2017-05-11,-0.025912400411560732,,,0
2017-05-12,-0.027044244295163722,,,0
2017-05-15,-0.041564193826270746,,,0
2017-05-16,-0.058032986327310354,,,0
2017-05-17,-0.04364138230166503,,,0
2017-05-18,-0.05519491625485706,,,0
2017-05-19,-0.048127328173054984,,,0
2017-05-22,-0.045973949079017196,,,0
