pair,mr_regime,n_days,avg_daily_pnl_proxy,hit_rate_proxy
EOG_FANG,0,1866,0.0005615380929635687,0.507502679528403
EOG_FANG,1,371,0.001444485375656124,0.5714285714285714
FCX_GOLD,0,2009,0.00029397399532595485,0.5097063215530114
FCX_GOLD,1,228,0.0028492348578206066,0.5526315789473685
V_MA,0,1906,0.0006539175964600102,0.5204616998950682
V_MA,1,331,0.0005165341551352038,0.5468277945619335
