,spread,half_life_roll,mean_crossings_roll,adf_p_roll,mr_regime_v2,mr_regime_adf,mr_regime_final
2019-07-12,-0.011001508151242234,11.235785376703785,20.0,0.16124528783667696,1,0,0
2019-07-15,-0.013015964409090586,11.197494661901635,20.0,0.1622286009179737,1,0,0
2019-07-16,-0.013663770404773956,11.215311785700605,20.0,0.16131867787329202,1,0,0
2019-07-17,-0.017024519410028915,11.229532030607478,20.0,0.37209713069336364,1,0,0
2019-07-18,-0.020901562053873057,11.231154771391836,20.0,0.42168518404923144,1,0,0
2019-07-19,-0.0156976287308499,11.045844134891958,20.0,0.441500902454429,1,0,0
2019-07-22,-0.013936758074000188,10.854166550905234,20.0,0.4349496914567599,1,0,0
2019-07-23,-0.01462800934120878,11.368087677785876,20.0,0.3436104988353541,1,0,0
2019-07-24,-0.026377793422391882,11.651600118278623,20.0,0.3351047830063603,1,0,0
2019-07-25,-0.01716586223739469,11.386635722177227,20.0,0.36531707662914115,1,0,0
2019-07-26,-0.02153879748842691,11.24019025985496,20.0,0.3704992105977062,1,0,0
2019-07-29,-0.01997596953530323,10.97859665983418,20.0,0.3801229081499436,1,0,0
2019-07-30,-0.019605458727229852,11.992910021151557,20.0,0.3728317280458198,1,0,0
2019-07-31,-0.015946437708543648,11.833967225206791,20.0,0.3034127574829927,1,0,0
2019-08-01,-0.016974843921055083,11.844519409004176,20.0,0.30044270824483466,1,0,0
2019-08-02,-0.021584124588089892,11.825275148326757,20.0,0.3051455205061365,1,0,0
2019-08-05,-0.007229245040560883,10.987429049500934,22.0,0.257067362879312,1,0,0
2019-08-06,-0.0037821848491690346,11.040224843623799,23.0,0.3057452409549754,1,0,0
2019-08-07,-0.0068590005391353515,10.945387685788802,24.0,0.3095707901127812,1,0,0
2019-08-08,-0.007208134383400733,10.750570815487833,22.0,0.27767422884873894,1,0,0
2019-08-09,-0.012211888873991938,11.220893111931977,24.0,0.28947607566814026,1,0,0
2019-08-12,-0.011087556338681637,11.11153787578545,24.0,0.24195571978033464,1,0,0
2019-08-13,-0.010307077813628496,10.82652024222325,26.0,0.26473502080016664,1,0,0
2019-08-14,-0.0012500629835043853,10.791811616224479,27.0,0.21956111685523727,1,0,0
2019-08-15,-0.005149588030974428,10.34243931228753,28.0,0.2687439153705077,1,0,0
2019-08-16,-0.00976351667107167,10.635024979018905,28.0,0.29071895813266946,1,0,0
2019-08-19,-0.006755036694690908,10.208659899691567,28.0,0.2690449628446026,1,0,0
2019-08-20,-0.006857444177460259,10.72477293898897,28.0,0.1529780135069882,1,0,0
2019-08-21,-0.0008378309576428933,10.689599592702207,29.0,0.13187193091993527,1,0,0
2019-08-22,0.0006355147283558793,10.489018288958615,27.0,0.12834399773946992,1,0,0
2019-08-23,0.002614855476710254,10.252568202895707,27.0,0.1545879011345067,1,0,0
2019-08-26,0.0024543977344579915,10.18466903599302,25.0,0.14921996637470353,1,0,0
2019-08-27,-0.002295922491026836,10.03121889261286,25.0,0.22626422416240788,1,0,0
2019-08-28,0.0014149900703408491,10.295743737576023,25.0,0.21275703289611653,1,0,0
2019-08-29,-0.0046211823074555625,9.946533011306874,24.0,0.22894948025167844,1,0,0
2019-08-30,-0.0022289834951960685,9.844799278940163,25.0,0.2141223446264514,1,0,0
2019-09-03,0.004420777031056922,10.095027930498285,25.0,0.1920274641228531,1,0,0
2019-09-04,0.007706317248586281,10.01669041588634,25.0,0.16328505224609574,1,0,0
2019-09-05,0.008103866852580133,10.831873903557891,23.0,0.1685556048490791,1,0,0
2019-09-06,-0.0010879220840847026,10.606854348323656,23.0,0.16827104299293266,1,0,0
2019-09-09,-0.0005315017241986908,10.689012276771972,25.0,0.18693117358065492,1,0,0
2019-09-10,-0.003945508414125776,10.59206332741066,26.0,0.1989892509278473,1,0,0
2019-09-11,-0.0029673605677444925,10.470312320412077,26.0,0.30233289720057,1,0,0
2019-09-12,-0.000550713076315823,10.238416691578811,27.0,0.3337646941911563,1,0,0
2019-09-13,0.004082367725431801,10.408446937508769,27.0,0.3571620317448672,1,0,0
2019-09-16,0.004076079374605968,10.429653425087752,29.0,0.34441350802969517,1,0,0
2019-09-17,0.009449753027181096,10.69583256790159,29.0,0.3444292156649805,1,0,0
2019-09-18,0.013377867953201061,10.830496333851436,27.0,0.3382191915898594,1,0,0
2019-09-19,0.011454333019609741,10.728008320652233,27.0,0.3476108071664199,1,0,0
2019-09-20,0.007614117807309917,10.607208909096784,27.0,0.3398156015437942,1,0,0
2019-09-23,0.008721580768022541,10.501662446864223,27.0,0.35108976764913247,1,0,0
2019-09-24,0.004285786686070381,10.584661796807714,29.0,0.32218919187930206,1,0,0
2019-09-25,0.004522792388194752,10.559627892658861,31.0,0.3190890827814378,1,0,0
2019-09-26,0.006002471420820221,10.635364041624749,31.0,0.3167173781553262,1,0,0
2019-09-27,0.00027128615369687026,10.454944747697981,29.0,0.315782712752514,1,0,0
2019-09-30,0.02348585249695212,10.51516977366048,29.0,0.3739145020244323,1,0,0
2019-10-01,0.004648452532507008,9.81607857012698,27.0,0.32578163827146506,1,0,0
2019-10-02,0.012846979901661726,9.948585304901162,31.0,0.3343378561383968,1,0,0
2019-10-03,0.004912262740207396,9.899744332864804,31.0,0.34283943223315244,1,0,0
2019-10-04,0.00385529722972322,9.810258003416621,31.0,0.147135964540428,1,0,0
