pair,theta,mu,sigma,half_life,n_obs_mr,mr_fraction_v2,median_half_life_roll,median_crossings_roll
EOG_FANG,0.04008476713830583,-0.005127186742558285,0.016928194148036646,17.292034606771097,1976,0.8606271777003485,17.15123041931934,18.0
FCX_GOLD,0.026641717120082002,-0.00013898105721545865,0.03473615114402994,26.017361322309988,1648,0.7177700348432056,26.104709472161588,16.0
V_MA,0.03672641386034034,0.0053151951035539605,0.007233612745018025,18.87326062369657,1626,0.7081881533101045,15.085141640576948,20.0
