a,b,bucket,subcluster,train_nobs,alpha_train,beta_train,r2_train,eg_tstat_train,eg_pval_train,crit_1%,crit_5%,crit_10%
EOG,OXY,energy,e&p,1528,2.3863363198581253,0.47417112109156584,0.7544792934722713,-1.9477588522936788,0.5556036491229033,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
DVN,FANG,energy,e&p,1528,-1.4721418876931942,1.0671241578268909,0.8435647338428702,-1.9467904207399225,0.5561017424965482,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
OXY,APA,energy,e&p,1528,0.5770423015954322,0.9527402770226168,0.8355910106713131,-1.93744316117314,0.5609029438083352,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
COP,APA,energy,e&p,1528,3.450608264731677,0.08030850928815408,0.027314730987111124,-1.6594592648850146,0.6951537356719298,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
OXY,FANG,energy,e&p,1528,-1.3757294095809276,1.196770644655099,0.7359545052009283,-1.6320859004296344,0.7071587122668757,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
COP,DVN,energy,e&p,1528,2.8608965485747877,0.28239005709191756,0.25448869409354624,-1.5715815581453203,0.7327342825399077,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
COP,OXY,energy,e&p,1528,3.1746089781861953,0.14668598229267021,0.0989934174554914,-1.5455290826526458,0.7433229592204716,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
COP,FANG,energy,e&p,1528,1.8967661930841409,0.4320957209274796,0.4413855727750361,-1.2304802206419871,0.8497378363704274,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
DVN,APA,energy,e&p,1528,0.6166292844340749,0.741564075368925,0.729795990482194,-1.1260827817052548,0.8762092812610098,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
COP,EOG,energy,e&p,1528,1.4273281319442008,0.5546165150398112,0.4217329761512647,-1.097787757738158,0.8826766794076735,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
OXY,DVN,energy,e&p,1528,0.7556401577137821,0.9615659196112609,0.6413553550276976,-0.5321107152077834,0.9619654360698797,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
XOM,CVX,energy,integrated,1528,0.8089508458204364,0.7122769648634864,0.2711670544185729,-1.5020118188284606,0.7604198184363881,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
KMI,WMB,energy,midstream,1528,1.4230200357528355,0.3731064217868293,0.32459219007969586,-3.0198470167354965,0.10556291799156625,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
SLB,HAL,energy,services,1528,0.47273094537672583,0.9682698128607338,0.9172446782663963,-2.660331870198695,0.21416886326660617,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
PNC,TFC,financials,banks,1528,0.1590360295643112,1.2635746138583979,0.9394258562465886,-3.8131992138808535,0.013016424559414878,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,TFC,financials,banks,1528,-2.2463128993849835,1.518267356886384,0.9065223442842865,-3.020777336873377,0.10534896330506305,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
JPM,TFC,financials,banks,1528,-0.44121839230738985,1.3859283022331788,0.8746826352966615,-2.933403722852529,0.12689610566917636,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,PNC,financials,banks,1528,-2.4066242839357317,1.1949057178054927,0.9543079837953763,-2.714506191822112,0.19440481275241378,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GS,MS,financials,banks,1528,2.7130376248227392,0.6972284260694006,0.9338712026743616,-2.620983184973114,0.22927419993965337,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GS,PNC,financials,banks,1528,0.9198735869209409,0.9419211428493355,0.8760219481706282,-2.496831379368709,0.2804682683368953,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
USB,TFC,financials,banks,1528,1.017372927173291,0.7352169252800174,0.8530587045100124,-2.472812543103448,0.2911893414032797,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GS,TFC,financials,banks,1528,1.2106675275504404,1.150269151729756,0.7686799753109244,-2.4328481923739083,0.3094592865062106,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
C,USB,financials,banks,1528,-0.15788510967789796,1.114703470742234,0.8257970661513941,-2.350366332043933,0.34870792098627273,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MS,PNC,financials,banks,1528,-2.4672718327080574,1.3283255849194573,0.9068974033213112,-2.3154907438607717,0.36584904129836127,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
C,MS,financials,banks,1528,2.3969477206585506,0.40136209607200724,0.5586830031787452,-2.2964501940016184,0.37532543949441277,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
C,PNC,financials,banks,1528,0.8423183881465054,0.6552409717550901,0.7653215128668647,-2.2831242462437427,0.3820031771589609,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
C,GS,financials,banks,1528,0.8952629162969499,0.5642598291104508,0.5747966117160308,-2.20876610098387,0.4198477215268238,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
C,TFC,financials,banks,1528,0.7577887862090098,0.8813811005411103,0.814760605983162,-2.205284712759687,0.42163998800947483,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
JPM,BAC,financials,banks,1528,1.606025164571073,0.9138849696199496,0.967097015394665,-2.1363557233839785,0.457384333651785,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
USB,PNC,financials,banks,1528,1.1176510901402499,0.5401387229726623,0.7825242907686766,-1.9765088040481,0.5407654333075971,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
JPM,PNC,financials,banks,1528,-0.6232232416277681,1.0984690040132397,0.9338644984932652,-1.9251990692783703,0.5671736973878064,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MS,TFC,financials,banks,1528,-2.048387802153735,1.6196534282856807,0.7933302190937797,-1.8763290035541347,0.5919624632205582,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
JPM,C,financials,banks,1528,-0.40396238012597574,1.2549927869768784,0.6838311528751562,-1.7648895837063237,0.6466143603768308,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,MS,financials,banks,1528,0.10819687922844035,0.8191272656443103,0.8725191345720398,-1.6927306202219914,0.6802169731029297,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,USB,financials,banks,1528,-2.9305092079067228,1.6730680493308219,0.697527426698213,-1.6198519698583602,0.7124383171241888,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
JPM,GS,financials,banks,1528,-0.7508625235124455,0.986979973358623,0.7635527345906393,-1.6195707200308689,0.7125590580963075,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,GS,financials,banks,1528,-2.5541515417661973,1.0752752511804449,0.7826627819834286,-1.6152304973767213,0.7144186872611967,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
WFC,MS,financials,banks,1528,3.4481528880215224,0.05042699420385587,0.007782816139389803,-1.6085915887883497,0.7172499539962855,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
JPM,USB,financials,banks,1528,-0.8976966688825021,1.480730357188805,0.6326638379048379,-1.593735934041743,0.7235266996763444,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
WFC,USB,financials,banks,1528,0.6510375353340394,0.8251609252206715,0.3993464215834728,-1.5653677206075554,0.7352834655613742,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GS,USB,financials,banks,1528,0.44192902794071326,1.3368252957768183,0.6578820016060427,-1.5437801782825136,0.744024394542047,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
JPM,WFC,financials,banks,1528,3.894908814376224,0.15386839704251343,0.011647894307729834,-1.5421899399643482,0.7446611609589484,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
WFC,GS,financials,banks,1528,2.5667770718379836,0.20224947697063136,0.06517013306939035,-1.5390473333249586,0.7459166331985995,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
WFC,PNC,financials,banks,1528,2.558584956600078,0.23252677435617417,0.08505613103771026,-1.4950938874826691,0.7630685485076898,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
WFC,TFC,financials,banks,1528,2.26360639138469,0.3877993539590169,0.13919850713886295,-1.425068336800783,0.7887914066076943,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,C,financials,banks,1528,-2.399597544055327,1.4249722678639896,0.7613638869391981,-1.4235640036456412,0.7893220732066895,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
WFC,C,financials,banks,1528,1.5281186052184,0.5438604286289225,0.2610314172002851,-1.272205754407623,0.8379658469221496,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BAC,WFC,financials,banks,1528,1.9554929737307984,0.3194877357563224,0.043368057651825165,-1.2125770502804187,0.8545767923003382,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MS,USB,financials,banks,1528,-2.5767857046566145,1.7290425796795121,0.5728926611194841,-1.1279849920855987,0.8757639445613701,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
JPM,MS,financials,banks,1528,1.643177324444435,0.7653968798110555,0.882129902565761,-0.988991507339869,0.9049152595778712,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
V,MA,financials,payments,1528,0.7158005175113609,0.7919279445931375,0.9957318394636071,-4.2073725457904345,0.0035550875577957807,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MA,PYPL,financials,payments,1528,1.9330152423625957,0.7322352265078177,0.9257766820117315,-1.9760804299543553,0.5409871942575353,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
V,PYPL,financials,payments,1528,2.2279131630226194,0.5839839180198354,0.934927285335987,-1.9042519792804442,0.577848735776772,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AXP,PYPL,financials,payments,1528,2.5019396601342265,0.4429922563487738,0.8056770595639303,-1.648085895980736,0.7001734940961581,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
V,AXP,financials,payments,1528,-0.18894802723854331,1.1232278354936311,0.8424478882063162,-1.5497425175529793,0.7416281957577343,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MA,AXP,financials,payments,1528,-1.0922204312154968,1.4072275424493852,0.8328464254163646,-1.528062472164929,0.7502747536272327,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AAPL,META,tech,mega,1528,-5.017972827097683,1.7230142206236856,0.9274575457269291,-3.3964099284887115,0.042750784498373,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GOOGL,META,tech,mega,1528,-1.6507419697103116,1.1043427325038195,0.9297356830592504,-3.0026873364913103,0.10956809977456405,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MSFT,META,tech,mega,1528,-3.8869504665662857,1.6452025358528914,0.8929447434075573,-2.5001875768928388,0.27898630252698453,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
